"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 10 23:57:13 YEKT 2025","Tue Jun 10 23:57:15 YEKT 2025","1476","src.tests","test_faq","","","","test_each_faq_question[4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]",""
"passed","Tue Jun 10 23:56:45 YEKT 2025","Tue Jun 10 23:56:46 YEKT 2025","1415","src.tests","test_faq","","","","test_each_faq_question[1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]",""
"passed","Wed Jun 11 12:54:40 YEKT 2025","Wed Jun 11 12:54:41 YEKT 2025","1351","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #3",""
"passed","Tue Jun 10 23:57:52 YEKT 2025","Tue Jun 10 23:57:58 YEKT 2025","5976","src.tests","test_order","","","","test_order_full_flow[True-\u0418\u0432\u0430\u043d-\u041f\u0435\u0442\u0440\u043e\u0432-\u0423\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, \u0434.1-\u0427\u0435\u0440\u043a\u0438\u0437\u043e\u0432\u0441\u043a\u0430\u044f-+79161234567-2025-06-20-\u0441\u0443\u0442\u043a\u0438-True-\u043e\u0441\u0442\u0430\u0432\u0438\u0442\u044c \u0443 \u0434\u0432\u0435\u0440\u0438]",""
"broken","Wed Jun 11 12:55:27 YEKT 2025","Wed Jun 11 12:55:42 YEKT 2025","15506","src.tests","Заказ","TestOrder","","","Позитивный флоу заказа (top=True)",""
"broken","Wed Jun 11 12:55:51 YEKT 2025","Wed Jun 11 12:56:06 YEKT 2025","15532","src.tests","Заказ","TestOrder","","","Позитивный флоу заказа (top=False)",""
"passed","Wed Jun 11 12:54:49 YEKT 2025","Wed Jun 11 12:54:51 YEKT 2025","1747","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #4",""
"passed","Tue Jun 10 23:57:23 YEKT 2025","Tue Jun 10 23:57:25 YEKT 2025","1842","src.tests","test_faq","","","","test_each_faq_question[5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0432\u043e \u0441\u043d\u0435. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]",""
"passed","Wed Jun 11 12:55:08 YEKT 2025","Wed Jun 11 12:55:10 YEKT 2025","1379","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #6",""
"passed","Wed Jun 11 12:55:18 YEKT 2025","Wed Jun 11 12:55:19 YEKT 2025","1384","src.tests","FAQ Блок","TestFAQ","","","Проверка вопроса FAQ #7",""
